Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Novice Senior Boys + 66kg,MALE,12,14,66.1,,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 36kg,MALE,12,14,,36,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 40kg,MALE,12,14,36.1,40,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 45kg,MALE,12,14,40.1,45,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 50kg,MALE,12,14,45.1,50,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 55kg,MALE,12,14,50.1,55,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 60kg,MALE,12,14,55.1,60,YELLOW,YELLOW,180,0,360
Novice Senior Boys U 66kg,MALE,12,14,60.1,66,YELLOW,YELLOW,180,0,360
Novice Senior Girls + 63kg,FEMALE,12,14,63.1,,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 36kg,FEMALE,12,14,32.1,36,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 40kg,FEMALE,12,14,36.1,40,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 44kg,FEMALE,12,14,40.1,44,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 48kg,FEMALE,12,14,44.1,48,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 52kg,FEMALE,12,14,48.1,52,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 57kg,FEMALE,12,14,52.1,57,YELLOW,YELLOW,180,0,360
Novice Senior Girls U 63kg,FEMALE,12,14,57.1,63,YELLOW,YELLOW,180,0,360
Novice Senior Men +100kg,MALE,15,,,100.1,YELLOW,YELLOW,240,0,480
Novice Senior Men U 60kg,MALE,15,,60,,YELLOW,YELLOW,240,0,480
Novice Senior Men U 66kg,MALE,15,,66,60.1,YELLOW,YELLOW,240,0,480
Novice Senior Men U 73kg,MALE,15,,73,66.1,YELLOW,YELLOW,240,0,480
Novice Senior Men U 81kg,MALE,15,,81,73.1,YELLOW,YELLOW,240,0,480
Novice Senior Men U 90kg,MALE,15,,90,81.1,YELLOW,YELLOW,240,0,480
Novice Senior Men U100kg,MALE,15,,100,90.1,YELLOW,YELLOW,240,0,480
